,x,y,nom_commune,num_departement,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,param_32,param_33,param_34,param_35,pesticides et leurs métabolites,"métaux, métalloïdes et autres ions minéraux",hydrocarbures aromatiques polycycliques,substances chimiques industrielles (utilisation et/ou production),médicaments,"nitrates, nitrites et engrais azotés"
167,5.835,44.876,Saint-Pierre-de-Méaroz,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
168,1.191,48.457,Landelles,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
169,2.048,50.023,L'Étoile,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
170,-0.617,48.915,Périgny,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
171,2.048,50.023,L'Étoile,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
172,5.635,46.768,Menétru-le-Vignoble,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
173,5.619,46.751,Voiteur,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
174,9.518,42.442,Taglio-Isolaccio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
175,5.816,47.607,Theuley,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
176,0.835,44.925,Val de Louyre et Caudeau,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
177,1.987,50.037,Long,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
178,0.106,43.133,Hiis,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
179,5.734,46.651,Châtillon,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
